"REF_DATE","GEO","DGUID","Process","Commodity","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1999-06","Canada","2016A000011124","Oil  produced","Soybeans","Tonnes","288","units","0","v383415","1.2.5","","x","","","0"
"1999-06","Canada","2016A000011124","Oil  produced","Flaxseed","Tonnes","288","units","0","v383412","1.2.4","","x","","t","0"
"1999-06","Canada","2016A000011124","Oil  produced","Sunflower seed","Tonnes","288","units","0","v383421","1.2.7","","x","","t","0"
"1999-06","Canada","2016A000011124","Oil produced (stocks)","Canola (rapeseed)","Tonnes","288","units","0","v1459124","1.4.6","","x","","","0"
"1999-06","Canada","2016A000011124","Oil produced (stocks)","Soybeans","Tonnes","288","units","0","v1459122","1.4.5","","x","","","0"
"1999-06","Canada","2016A000011124","Oil produced (stocks)","Flaxseed","Tonnes","288","units","0","v1459120","1.4.4","","x","","t","0"
"1999-06","Canada","2016A000011124","Meal produced","Canola (rapeseed)","Tonnes","288","units","0","v383419","1.3.6","122703","","","","0"
"1999-06","Canada","2016A000011124","Meal produced","Soybeans","Tonnes","288","units","0","v383416","1.3.5","","x","","","0"
"1999-06","Canada","2016A000011124","Meal produced","Flaxseed","Tonnes","288","units","0","v383413","1.3.4","","x","","t","0"
"1999-06","Canada","2016A000011124","Meal produced","Sunflower seed","Tonnes","288","units","0","v383422","1.3.7","","x","","t","0"
"1999-06","Canada","2016A000011124","Meal produced (stocks)","Canola (rapeseed)","Tonnes","288","units","0","v1459125","1.5.6","","x","","","0"
"1999-06","Canada","2016A000011124","Meal produced (stocks)","Soybeans","Tonnes","288","units","0","v1459123","1.5.5","","x","","","0"
"1999-06","Canada","2016A000011124","Meal produced (stocks)","Flaxseed","Tonnes","288","units","0","v1459121","1.5.4","","x","","t","0"
"1999-07","Canada","2016A000011124","Seed crushed","Canola (rapeseed)","Tonnes","288","units","0","v383417","1.1.6","183625","","","","0"
"1999-07","Canada","2016A000011124","Seed crushed","Soybeans","Tonnes","288","units","0","v383414","1.1.5","","x","","","0"
"1999-07","Canada","2016A000011124","Seed crushed","Flaxseed","Tonnes","288","units","0","v383411","1.1.4","","x","","t","0"
"1999-07","Canada","2016A000011124","Seed crushed","Sunflower seed","Tonnes","288","units","0","v383420","1.1.7","","x","","t","0"
"1999-07","Canada","2016A000011124","Seed crushed (stocks)","Canola (rapeseed)","Tonnes","288","units","0","v41714056","1.6.6","","x","","","0"
"1999-07","Canada","2016A000011124","Seed crushed (stocks)","Soybeans","Tonnes","288","units","0","v41714055","1.6.5","","x","","","0"
"1999-07","Canada","2016A000011124","Seed crushed (stocks)","Flaxseed","Tonnes","288","units","0","v41690972","1.6.4","","x","","t","0"
"1999-07","Canada","2016A000011124","Oil  produced","Canola (rapeseed)","Tonnes","288","units","0","v383418","1.2.6","77278","","","","0"
"1999-07","Canada","2016A000011124","Oil  produced","Soybeans","Tonnes","288","units","0","v383415","1.2.5","","x","","","0"
"1999-07","Canada","2016A000011124","Oil  produced","Flaxseed","Tonnes","288","units","0","v383412","1.2.4","","x","","t","0"
"1999-07","Canada","2016A000011124","Oil  produced","Sunflower seed","Tonnes","288","units","0","v383421","1.2.7","","x","","t","0"
"1999-07","Canada","2016A000011124","Oil produced (stocks)","Canola (rapeseed)","Tonnes","288","units","0","v1459124","1.4.6","","x","","","0"
"1999-07","Canada","2016A000011124","Oil produced (stocks)","Soybeans","Tonnes","288","units","0","v1459122","1.4.5","","x","","","0"
"1999-07","Canada","2016A000011124","Oil produced (stocks)","Flaxseed","Tonnes","288","units","0","v1459120","1.4.4","","x","","t","0"
"1999-07","Canada","2016A000011124","Meal produced","Canola (rapeseed)","Tonnes","288","units","0","v383419","1.3.6","117883","","","","0"
"1999-07","Canada","2016A000011124","Meal produced","Soybeans","Tonnes","288","units","0","v383416","1.3.5","","x","","","0"
"1999-07","Canada","2016A000011124","Meal produced","Flaxseed","Tonnes","288","units","0","v383413","1.3.4","","x","","t","0"
"1999-07","Canada","2016A000011124","Meal produced","Sunflower seed","Tonnes","288","units","0","v383422","1.3.7","","x","","t","0"
"1999-07","Canada","2016A000011124","Meal produced (stocks)","Canola (rapeseed)","Tonnes","288","units","0","v1459125","1.5.6","","x","","","0"
"1999-07","Canada","2016A000011124","Meal produced (stocks)","Soybeans","Tonnes","288","units","0","v1459123","1.5.5","","x","","","0"
"1999-07","Canada","2016A000011124","Meal produced (stocks)","Flaxseed","Tonnes","288","units","0","v1459121","1.5.4","","x","","t","0"
"1999-08","Canada","2016A000011124","Seed crushed","Canola (rapeseed)","Tonnes","288","units","0","v383417","1.1.6","167548","","","","0"
