grain_week,crop_year,week_ending_date,worksheet,metric,period,grain,grade,region,Ktonnes
47,2022-2023,25/06/2023,Terminal Receipts,Receipts,Crop Year,Lentils,No.3 CANADA,Churchill,0
47,2022-2023,25/06/2023,Terminal Receipts,Receipts,Crop Year,Lentils,No.3 CANADA,Thunder Bay,0
47,2022-2023,25/06/2023,Terminal Receipts,Receipts,Crop Year,Lentils,No.3 CANADA,Bay & Lakes,0
47,2022-2023,25/06/2023,Terminal Receipts,Receipts,Crop Year,Lentils,No.3 CANADA,St. Lawrence,1.8
47,2022-2023,25/06/2023,Terminal Receipts,Receipts,Crop Year,Lentils,FEED,Vancouver,1.4
47,2022-2023,25/06/2023,Terminal Receipts,Receipts,Crop Year,Lentils,FEED,Prince Rupert,0
47,2022-2023,25/06/2023,Terminal Receipts,Receipts,Crop Year,Lentils,FEED,Churchill,0
47,2022-2023,25/06/2023,Terminal Receipts,Receipts,Crop Year,Lentils,FEED,Thunder Bay,0
47,2022-2023,25/06/2023,Terminal Receipts,Receipts,Crop Year,Lentils,FEED,Bay & Lakes,0
47,2022-2023,25/06/2023,Terminal Receipts,Receipts,Crop Year,Lentils,FEED,St. Lawrence,1.1
47,2022-2023,25/06/2023,Terminal Receipts,Receipts,Crop Year,Lentils,OTHER,Vancouver,1.0
47,2022-2023,25/06/2023,Terminal Receipts,Receipts,Crop Year,Lentils,OTHER,Prince Rupert,0
47,2022-2023,25/06/2023,Terminal Receipts,Receipts,Crop Year,Lentils,OTHER,Churchill,0
47,2022-2023,25/06/2023,Terminal Receipts,Receipts,Crop Year,Lentils,OTHER,Thunder Bay,0
47,2022-2023,25/06/2023,Terminal Receipts,Receipts,Crop Year,Lentils,OTHER,Bay & Lakes,0
47,2022-2023,25/06/2023,Terminal Receipts,Receipts,Crop Year,Lentils,OTHER,St. Lawrence,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 CW RS,Vancouver,177.0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 CW RS,Prince Rupert,41.5
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 CW RS,Churchill,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 CW RS,Thunder Bay,149.7
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 CW RS,Bay & Lakes,20.8
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 CW RS,St. Lawrence,355.8
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CW RS,Vancouver,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CW RS,Prince Rupert,0.1
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CW RS,Churchill,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CW RS,Thunder Bay,3.0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CW RS,Bay & Lakes,6.8
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CW RS,St. Lawrence,28.3
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.3 CW RS,Vancouver,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.3 CW RS,Prince Rupert,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.3 CW RS,Churchill,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.3 CW RS,Thunder Bay,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.3 CW RS,Bay & Lakes,0
