grain_week,crop_year,week_ending_date,worksheet,metric,period,grain,grade,region,Ktonnes
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Current Week,Wheat,,Manitoba,0.3
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Current Week,Wheat,,Saskatchewan,1.8
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Current Week,Wheat,,Alberta,1.3
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Current Week,Wheat,,British Columbia,0.7
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Current Week,Amber Durum,,Manitoba,0
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Current Week,Amber Durum,,Saskatchewan,0
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Current Week,Amber Durum,,Alberta,0
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Current Week,Amber Durum,,British Columbia,0
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Current Week,Oats,,Manitoba,0
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Current Week,Oats,,Saskatchewan,0
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Current Week,Oats,,Alberta,0
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Current Week,Oats,,British Columbia,0
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Current Week,Barley,,Manitoba,0.8
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Current Week,Barley,,Saskatchewan,6.3
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Current Week,Barley,,Alberta,1.8
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Current Week,Barley,,British Columbia,0
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Current Week,Peas,,Manitoba,0
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Current Week,Peas,,Saskatchewan,0
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Current Week,Peas,,Alberta,0
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Current Week,Peas,,British Columbia,0
1,2021-2022,08/08/2021,Feed Grains,Shipments,Current Week,Wheat,,Manitoba,2.3
1,2021-2022,08/08/2021,Feed Grains,Shipments,Current Week,Wheat,,Saskatchewan,5.7
1,2021-2022,08/08/2021,Feed Grains,Shipments,Current Week,Wheat,,Alberta,3.3
1,2021-2022,08/08/2021,Feed Grains,Shipments,Current Week,Wheat,,British Columbia,0
1,2021-2022,08/08/2021,Feed Grains,Shipments,Current Week,Oats,,Manitoba,0
1,2021-2022,08/08/2021,Feed Grains,Shipments,Current Week,Oats,,Saskatchewan,0
1,2021-2022,08/08/2021,Feed Grains,Shipments,Current Week,Oats,,Alberta,0
1,2021-2022,08/08/2021,Feed Grains,Shipments,Current Week,Oats,,British Columbia,0
1,2021-2022,08/08/2021,Feed Grains,Shipments,Current Week,Barley,,Manitoba,0.8
1,2021-2022,08/08/2021,Feed Grains,Shipments,Current Week,Barley,,Saskatchewan,2.9
1,2021-2022,08/08/2021,Feed Grains,Shipments,Current Week,Barley,,Alberta,2.4
1,2021-2022,08/08/2021,Feed Grains,Shipments,Current Week,Barley,,British Columbia,0.4
1,2021-2022,08/08/2021,Feed Grains,Shipments,Current Week,Peas,,Manitoba,0
1,2021-2022,08/08/2021,Feed Grains,Shipments,Current Week,Peas,,Saskatchewan,0
1,2021-2022,08/08/2021,Feed Grains,Shipments,Current Week,Peas,,Alberta,0
1,2021-2022,08/08/2021,Feed Grains,Shipments,Current Week,Peas,,British Columbia,0
1,2021-2022,08/08/2021,Feed Grains,Shipments,Current Week,Amber Durum,,Manitoba,0
1,2021-2022,08/08/2021,Feed Grains,Shipments,Current Week,Amber Durum,,Saskatchewan,0
1,2021-2022,08/08/2021,Feed Grains,Shipments,Current Week,Amber Durum,,Alberta,0
1,2021-2022,08/08/2021,Feed Grains,Shipments,Current Week,Amber Durum,,British Columbia,0
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Crop Year,Wheat,,Manitoba,0.3
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Crop Year,Wheat,,Saskatchewan,1.8
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Crop Year,Wheat,,Alberta,1.3
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Crop Year,Wheat,,British Columbia,0.7
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Crop Year,Oats,,Manitoba,0
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Crop Year,Oats,,Saskatchewan,0
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Crop Year,Oats,,Alberta,0
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Crop Year,Oats,,British Columbia,0
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Crop Year,Barley,,Manitoba,0.8
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Crop Year,Barley,,Saskatchewan,6.3
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Crop Year,Barley,,Alberta,1.8
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Crop Year,Barley,,British Columbia,0
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Crop Year,Peas,,Manitoba,0
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Crop Year,Peas,,Saskatchewan,0
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Crop Year,Peas,,Alberta,0
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Crop Year,Peas,,British Columbia,0
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Crop Year,Amber Durum,,Manitoba,0
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Crop Year,Amber Durum,,Saskatchewan,0
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Crop Year,Amber Durum,,Alberta,0
1,2021-2022,08/08/2021,Feed Grains,Deliveries,Crop Year,Amber Durum,,British Columbia,0
1,2021-2022,08/08/2021,Feed Grains,Shipments,Crop Year,Wheat,,Manitoba,2.3
1,2021-2022,08/08/2021,Feed Grains,Shipments,Crop Year,Wheat,,Saskatchewan,5.7
1,2021-2022,08/08/2021,Feed Grains,Shipments,Crop Year,Wheat,,Alberta,3.3
1,2021-2022,08/08/2021,Feed Grains,Shipments,Crop Year,Wheat,,British Columbia,0
1,2021-2022,08/08/2021,Feed Grains,Shipments,Crop Year,Oats,,Manitoba,0
1,2021-2022,08/08/2021,Feed Grains,Shipments,Crop Year,Oats,,Saskatchewan,0
1,2021-2022,08/08/2021,Feed Grains,Shipments,Crop Year,Oats,,Alberta,0
1,2021-2022,08/08/2021,Feed Grains,Shipments,Crop Year,Oats,,British Columbia,0
1,2021-2022,08/08/2021,Feed Grains,Shipments,Crop Year,Barley,,Manitoba,0.8
1,2021-2022,08/08/2021,Feed Grains,Shipments,Crop Year,Barley,,Saskatchewan,2.9
1,2021-2022,08/08/2021,Feed Grains,Shipments,Crop Year,Barley,,Alberta,2.4
1,2021-2022,08/08/2021,Feed Grains,Shipments,Crop Year,Barley,,British Columbia,0.4
1,2021-2022,08/08/2021,Feed Grains,Shipments,Crop Year,Peas,,Manitoba,0
1,2021-2022,08/08/2021,Feed Grains,Shipments,Crop Year,Peas,,Saskatchewan,0
1,2021-2022,08/08/2021,Feed Grains,Shipments,Crop Year,Peas,,Alberta,0
1,2021-2022,08/08/2021,Feed Grains,Shipments,Crop Year,Peas,,British Columbia,0
1,2021-2022,08/08/2021,Feed Grains,Shipments,Crop Year,Amber Durum,,Manitoba,0
1,2021-2022,08/08/2021,Feed Grains,Shipments,Crop Year,Amber Durum,,Saskatchewan,0
1,2021-2022,08/08/2021,Feed Grains,Shipments,Crop Year,Amber Durum,,Alberta,0
1,2021-2022,08/08/2021,Feed Grains,Shipments,Crop Year,Amber Durum,,British Columbia,0
1,2021-2022,08/08/2021,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Current Week,Wheat,,Canadian Domestic,8.8
1,2021-2022,08/08/2021,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Current Week,Wheat,,Process Elevators,1.0
1,2021-2022,08/08/2021,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Current Week,Wheat,,Pacific,0.1
