grain_week,crop_year,week_ending_date,worksheet,metric,period,grain,grade,region,Ktonnes
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Crop Year,Peas,,Saskatchewan,0
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Crop Year,Peas,,Alberta,0
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Crop Year,Peas,,British Columbia,0
1,2023-2024,06/08/2023,Feed Grains,Shipments,Crop Year,Wheat,,Manitoba,0.1
1,2023-2024,06/08/2023,Feed Grains,Shipments,Crop Year,Wheat,,Saskatchewan,1.9
1,2023-2024,06/08/2023,Feed Grains,Shipments,Crop Year,Wheat,,Alberta,1.8
1,2023-2024,06/08/2023,Feed Grains,Shipments,Crop Year,Wheat,,British Columbia,0.6
1,2023-2024,06/08/2023,Feed Grains,Shipments,Crop Year,Barley,,Manitoba,0.3
1,2023-2024,06/08/2023,Feed Grains,Shipments,Crop Year,Barley,,Saskatchewan,2.4
1,2023-2024,06/08/2023,Feed Grains,Shipments,Crop Year,Barley,,Alberta,3.5
1,2023-2024,06/08/2023,Feed Grains,Shipments,Crop Year,Barley,,British Columbia,0.1
1,2023-2024,06/08/2023,Feed Grains,Shipments,Crop Year,Chick Peas,,Manitoba,0
1,2023-2024,06/08/2023,Feed Grains,Shipments,Crop Year,Chick Peas,,Saskatchewan,0
1,2023-2024,06/08/2023,Feed Grains,Shipments,Crop Year,Chick Peas,,Alberta,0
1,2023-2024,06/08/2023,Feed Grains,Shipments,Crop Year,Chick Peas,,British Columbia,0
1,2023-2024,06/08/2023,Feed Grains,Shipments,Crop Year,Canola,,Manitoba,0
1,2023-2024,06/08/2023,Feed Grains,Shipments,Crop Year,Canola,,Saskatchewan,0
1,2023-2024,06/08/2023,Feed Grains,Shipments,Crop Year,Canola,,Alberta,1.3
1,2023-2024,06/08/2023,Feed Grains,Shipments,Crop Year,Canola,,British Columbia,0
1,2023-2024,06/08/2023,Feed Grains,Shipments,Crop Year,Peas,,Manitoba,0
1,2023-2024,06/08/2023,Feed Grains,Shipments,Crop Year,Peas,,Saskatchewan,0
1,2023-2024,06/08/2023,Feed Grains,Shipments,Crop Year,Peas,,Alberta,0
1,2023-2024,06/08/2023,Feed Grains,Shipments,Crop Year,Peas,,British Columbia,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Current Week,Wheat,,Canadian Domestic,1.7
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Current Week,Wheat,,Process Elevators,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Current Week,Wheat,,Pacific,2.1
