"REF_DATE","GEO","DGUID","Supply and disposition","Products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-02","Canada","2016A000011124","Ending stocks","Renewable fuel plant feedstocks, total","Metric tonnes","214","units","0","v1277885553","1.7.1","104462","","","","0"
"2021-02","Canada","2016A000011124","Ending stocks","Cereal grains, total","Metric tonnes","214","units","0","v1277885564","1.7.2","100185","","","","0"
"2021-02","Canada","2016A000011124","Ending stocks","Vegetable oils, total","Metric tonnes","214","units","0","v1277885569","1.7.3","1200","","","","0"
"2021-02","Canada","2016A000011124","Ending stocks","Other renewable fuel plant feedstocks, total","Metric tonnes","214","units","0","v1277885574","1.7.4","3077","","","","0"
"2021-02","Canada","2016A000011124","Ending stocks","Renewable fuels, total","Cubic metres","72","units","0","v1277885579","1.7.5","22951","","","","0"
"2021-02","Canada","2016A000011124","Ending stocks","Fuel ethanol","Cubic metres","72","units","0","v1277885584","1.7.6","16571","","","","0"
"2021-02","Canada","2016A000011124","Ending stocks","Renewable fuels except fuel ethanol","Cubic metres","72","units","0","v1277885589","1.7.7","6380","","","","0"
"2021-02","Canada","2016A000011124","Ending stocks","Renewable fuel plant co-products, total","Metric tonnes","214","units","0","v1277885595","1.7.8","14745","","","","0"
"2021-02","Canada","2016A000011124","Ending stocks","Distillers grains, total","Metric tonnes","214","units","0","v1277885601","1.7.9","11146","","","","0"
"2021-02","Canada","2016A000011124","Ending stocks","Renewable fuel plant co-products except distillers grains","Metric tonnes","214","units","0","v1277885559","1.7.10","3599","","","","0"
"2021-03","Canada","2016A000011124","Beginning stocks","Renewable fuel plant feedstocks, total","Metric tonnes","214","units","0","v1277885549","1.1.1","104452","","","","0"
"2021-03","Canada","2016A000011124","Beginning stocks","Cereal grains, total","Metric tonnes","214","units","0","v1277885560","1.1.2","100185","","","","0"
"2021-03","Canada","2016A000011124","Beginning stocks","Vegetable oils, total","Metric tonnes","214","units","0","v1277885565","1.1.3","1190","","","","0"
"2021-03","Canada","2016A000011124","Beginning stocks","Other renewable fuel plant feedstocks, total","Metric tonnes","214","units","0","v1277885570","1.1.4","3077","","","","0"
"2021-03","Canada","2016A000011124","Beginning stocks","Renewable fuels, total","Cubic metres","72","units","0","v1277885575","1.1.5","22951","","","","0"
"2021-03","Canada","2016A000011124","Beginning stocks","Fuel ethanol","Cubic metres","72","units","0","v1277885580","1.1.6","16571","","","","0"
"2021-03","Canada","2016A000011124","Beginning stocks","Renewable fuels except fuel ethanol","Cubic metres","72","units","0","v1277885585","1.1.7","6380","","","","0"
"2021-03","Canada","2016A000011124","Beginning stocks","Renewable fuel plant co-products, total","Metric tonnes","214","units","0","v1277885590","1.1.8","14745","","","","0"
"2021-03","Canada","2016A000011124","Beginning stocks","Distillers grains, total","Metric tonnes","214","units","0","v1277885596","1.1.9","11146","","","","0"
