strike,expiry,days_to_expiry,T,bid,ask,mid,calc_iv,ib_iv,iv,underlying_price,und_price,volume,right,last,symbol,moneyness_kf,future_symbol,atm_strike
330.0,202603,44,0.12054794520547946,120.375,122.875,121.625,1.1685853822863146,0.431334867501247,3.358245156589044,424.0,424.0,0,P,0,202603_330.0P,0.7783018867924528,ZC202603,425.0
340.0,202603,44,0.12054794520547946,110.375,112.875,111.625,1.0897990131896202,0.3958317953878159,2.984784562346179,424.0,424.0,0,P,0,202603_340.0P,0.8018867924528302,ZC202603,425.0
345.0,202603,44,0.12054794520547946,78.625,79.125,78.875,,0.2777757590237419,2.2106469666674835,424.0,424.0,0,P,0,202603_345.0P,0.8136792452830188,ZC202603,425.0
350.0,202603,44,0.12054794520547946,100.375,102.875,101.625,1.0123250886774784,0.3576525962077683,2.6337788618077522,424.0,424.0,0,P,0,202603_350.0P,0.8254716981132075,ZC202603,425.0
355.0,202603,44,0.12054794520547946,68.625,69.25,68.9375,,0.253166884731542,1.8930109066772314,424.0,424.0,0,P,0,202603_355.0P,0.8372641509433962,ZC202603,425.0
360.0,202603,44,0.12054794520547946,90.375,92.875,91.625,0.9358725664007752,0.3180610838091428,2.3017581993728116,424.0,424.0,0,P,0,202603_360.0P,0.8490566037735849,ZC202603,425.0
365.0,202603,44,0.12054794520547946,85.375,87.875,86.625,0.8979280682322459,0.2981753235771842,2.14197701489469,424.0,424.0,0,P,0,202603_365.0P,0.8608490566037735,ZC202603,425.0
370.0,202603,44,0.12054794520547946,80.375,82.875,81.625,0.860112937999434,0.2784682628913307,1.9859418075944657,424.0,424.0,0,P,0,202603_370.0P,0.8726415094339622,ZC202603,425.0
375.0,202603,44,0.12054794520547946,48.625,49.25,48.9375,,0.2096176610219085,1.2962064648769658,424.0,424.0,0,P,0,202603_375.0P,0.8844339622641509,ZC202603,425.0
380.0,202603,44,0.12054794520547946,70.375,72.875,71.625,0.7846709792206243,0.2402839747396288,1.6840452686562475,424.0,424.0,0,P,0,202603_380.0P,0.8962264150943396,ZC202603,425.0
385.0,202603,44,0.12054794520547946,38.75,39.375,39.0625,0.1433890412628838,0.1836071418941164,1.0172597968239776,424.0,424.0,0,P,0,202603_385.0P,0.9080188679245284,ZC202603,425.0
390.0,202603,44,0.12054794520547946,61.125,62.25,61.6875,0.7101861236823529,0.204817017109819,1.395299687495587,424.0,424.0,0,P,0,202603_390.0P,0.9198113207547169,ZC202603,425.0
395.0,202603,44,0.12054794520547946,28.875,29.5,29.1875,0.1154424106433898,0.1579889944838484,0.7477481258549379,424.0,424.0,0,P,0,202603_395.0P,0.9316037735849056,ZC202603,425.0
400.0,202603,44,0.12054794520547946,51.125,52.25,51.6875,0.6338154942311239,0.1732084944860619,1.1156178340760614,424.0,424.0,0,P,0,202603_400.0P,0.9433962264150944,ZC202603,425.0
405.0,202603,44,0.12054794520547946,19.5,20.125,19.8125,0.1038311468554972,0.1366984148958174,0.4956619395806066,424.0,424.0,0,P,0,202603_405.0P,0.9551886792452831,ZC202603,425.0
410.0,202603,44,0.12054794520547946,41.125,42.25,41.6875,0.5558367288052721,0.1463492316603334,0.8444878752468704,424.0,424.0,0,P,0,202603_410.0P,0.9669811320754716,ZC202603,425.0
415.0,202603,44,0.12054794520547946,11.375,11.875,11.625,0.0988680833070633,0.1308402633460632,0.27173458389910937,424.0,424.0,0,P,0,202603_415.0P,0.9787735849056604,ZC202603,425.0
420.0,202603,44,0.12054794520547946,8.125,8.5,8.3125,0.0978815641870363,0.1330631175189763,0.17512060196954082,424.0,424.0,0,P,0,202603_420.0P,0.9905660377358491,ZC202603,425.0
425.0,202603,44,0.12054794520547946,5.625,5.875,5.75,0.099109340992663,0.1344420111562069,0.10662847636728279,424.0,424.0,0,C,0,202603_425.0C,1.0023584905660377,ZC202603,425.0
430.0,202603,44,0.12054794520547946,21.375,22.5,21.9375,0.3923601262301168,0.1073418541721987,0.42214005061186377,424.0,424.0,0,C,0,202603_430.0C,1.0141509433962264,ZC202603,425.0
435.0,202603,44,0.12054794520547946,2.375,2.5,2.4375,0.101992486363085,0.1350981914484103,0.1097678559045397,424.0,424.0,0,C,0,202603_435.0C,1.025943396226415,ZC202603,425.0
440.0,202603,44,0.12054794520547946,12.0,13.125,12.5625,0.3046317990751083,0.0950644066820406,0.32780427739388557,424.0,424.0,0,C,0,202603_440.0C,1.0377358490566038,ZC202603,425.0
445.0,202603,44,0.12054794520547946,1.0,1.125,1.0625,0.1104982373700763,0.147428526276152,0.11893767543305984,424.0,424.0,0,C,0,202603_445.0C,1.0495283018867925,ZC202603,425.0
450.0,202603,44,0.12054794520547946,4.875,5.625,5.25,0.2270491407266388,0.0910553279769268,0.24436061570512982,424.0,424.0,0,C,0,202603_450.0C,1.0613207547169812,ZC202603,425.0
455.0,202603,44,0.12054794520547946,0.5,0.625,0.5625,0.1239675397363715,0.1686021189010665,0.1334413907118005,424.0,424.0,0,C,0,202603_455.0C,1.0731132075471699,ZC202603,425.0
